"cdmSourceName","releaseKey","analysisId","stratum1","stratum2","stratum3","stratum4","stratum5","countValue","visitConceptName","visitAncestorConceptId","visitAncestorConceptName"
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"190909",NA,NA,NA,NA,20,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"191007",NA,NA,NA,NA,30,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"191104",NA,NA,NA,NA,30,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"191108",NA,NA,NA,NA,40,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"191109",NA,NA,NA,NA,40,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"191306",NA,NA,NA,NA,50,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"191402",NA,NA,NA,NA,60,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"191411",NA,NA,NA,NA,70,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"191502",NA,NA,NA,NA,70,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"191602",NA,NA,NA,NA,70,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"191604",NA,NA,NA,NA,70,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"191605",NA,NA,NA,NA,70,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"191808",NA,NA,NA,NA,90,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"191902",NA,NA,NA,NA,90,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"191912",NA,NA,NA,NA,100,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192001",NA,NA,NA,NA,100,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192006",NA,NA,NA,NA,110,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192109",NA,NA,NA,NA,120,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192110",NA,NA,NA,NA,120,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192208",NA,NA,NA,NA,140,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192209",NA,NA,NA,NA,140,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192304",NA,NA,NA,NA,140,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192305",NA,NA,NA,NA,140,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192403",NA,NA,NA,NA,150,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192404",NA,NA,NA,NA,150,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192507",NA,NA,NA,NA,160,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192603",NA,NA,NA,NA,160,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192609",NA,NA,NA,NA,160,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192611",NA,NA,NA,NA,170,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192710",NA,NA,NA,NA,170,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192903",NA,NA,NA,NA,180,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192904",NA,NA,NA,NA,180,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"192906",NA,NA,NA,NA,180,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193005",NA,NA,NA,NA,180,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193102",NA,NA,NA,NA,190,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193106",NA,NA,NA,NA,200,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193204",NA,NA,NA,NA,200,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193208",NA,NA,NA,NA,200,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193303",NA,NA,NA,NA,200,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193503",NA,NA,NA,NA,220,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193506",NA,NA,NA,NA,230,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193509",NA,NA,NA,NA,240,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193512",NA,NA,NA,NA,250,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193601",NA,NA,NA,NA,250,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193704",NA,NA,NA,NA,280,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193802",NA,NA,NA,NA,290,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193808",NA,NA,NA,NA,310,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193903",NA,NA,NA,NA,320,NA,NA,NA
"NACHC_DEMO_DB_OHDSI","NACHC_DEMO_DB_OHDSI_20190525",117,"193908",NA,NA,NA,NA,330,NA,NA,NA
